Original Time Series,Cycle State,next_I_R04_Gripper_Load,next_I_R01_Gripper_Load,next_label,predicted_I_R04_Gripper_Load,predicted_I_R01_Gripper_Load,predicted_label,Instruction1,Output1_from_LLM,Instruction2,Output2_1_from_LLM,Output2_2_from_LLM
[[1118.  380.  700.]],8,-603,341,"NoNose,NoBody2,NoBody1",25.639414,362.86276,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,25.639414,362.86276
[[625. 463. 500.]],20,568,430,"NoNose,NoBody2",620.9936,404.95328,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,620.9936,404.95328
[[1071.  407.  100.]],1,769,299,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[748. 315. 100.]],9,825,353,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[641. 388. 200.]],18,615,467,NoNose,565.59186,412.8516,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,565.59186,412.8516
[[594. 355. 500.]],8,539,390,"NoNose,NoBody2",535.5857,399.33347,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,535.5857,399.33347
[[1118.  369.  100.]],7,1015,383,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[603. 478. 500.]],8,601,430,"NoNose,NoBody2",594.41656,403.46048,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,594.41656,403.46048
[[-547.  234.  100.]],8,269,283,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-739.  322.  100.]],9,594,347,Normal,42.883427,214.7915,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,42.883427,214.7915
[[-403.  428.  700.]],16,491,404,"NoNose,NoBody2,NoBody1",26.660894,363.92865,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.660894,363.92865
[[-465.  370.  100.]],12,-98,372,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[632. 406. 100.]],17,-1238,362,Normal,412.05875,404.36246,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,412.05875,404.36246
[[672. 429. 700.]],9,635,412,"NoNose,NoBody2,NoBody1",562.80646,394.58688,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,562.80646,394.58688
[[865. 341. 100.]],8,361,337,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-56. 383. 100.]],13,135,359,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[732. 412. 700.]],15,-649,360,"NoNose,NoBody2,NoBody1",558.6208,394.58875,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,558.6208,394.58875
[[-1293.   414.   100.]],20,-381,426,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-1100.   358.   100.]],9,307,336,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[895. 144. 100.]],9,-804,281,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[303. 377. 600.]],6,-886,424,"NoBody2,NoBody1",28.358522,365.70007,"NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoBody2,NoBody1",What are the next sensor values associated with next time step?,28.358522,365.70007
[[659. 336. 300.]],5,646,430,NoBody1,433.93085,400.17957,NoBody1,What are the anomalies that happen in next time step?,NoBody1,What are the next sensor values associated with next time step?,433.93085,400.17957
[[884. 371. 100.]],5,-1187,417,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[585. 456. 500.]],18,618,480,"NoNose,NoBody2",578.3576,402.34326,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,578.3576,402.34326
[[579. 436. 100.]],4,612,448,Normal,246.09334,283.76404,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,246.09334,283.76404
[[956. 416. 700.]],17,114,398,"NoNose,NoBody2,NoBody1",354.364,382.43475,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,354.364,382.43475
[[645. 406. 400.]],7,626,391,NoBody2,604.78424,407.68427,NoBody2,What are the anomalies that happen in next time step?,NoBody2,What are the next sensor values associated with next time step?,604.78424,407.68427
[[1240.  349.  100.]],8,-59,365,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-730.  198.  100.]],9,700,383,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[394. 417. 700.]],20,-766,446,"NoNose,NoBody2,NoBody1",24.944359,362.13748,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,24.944359,362.13748
[[-214.  342.  100.]],8,-335,395,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[658. 390. 200.]],9,614,350,NoNose,261.06033,288.84406,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,261.06033,288.84406
[[896. 382. 700.]],11,-98,178,"NoNose,NoBody2,NoBody1",312.39853,379.9404,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,312.39853,379.9404
[[635. 408. 500.]],9,641,430,"NoNose,NoBody2",635.4385,405.38412,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,635.4385,405.38412
[[-1129.   348.   100.]],11,1073,356,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-536.  357.  100.]],3,-425,-15,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[204. 382. 100.]],9,931,369,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[338. 250. 100.]],8,-820,390,Normal,354.63248,401.18726,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,354.63248,401.18726
[[603. 461. 500.]],20,619,469,"NoNose,NoBody2",597.23694,403.51215,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,597.23694,403.51215
[[785. 397. 100.]],11,-1203,372,Normal,173.14003,391.1522,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,173.14003,391.1522
[[672. 401. 200.]],9,596,436,NoNose,564.8489,412.81052,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,564.8489,412.81052
[[587. 452. 500.]],9,624,419,"NoNose,NoBody2",581.21106,402.487,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,581.21106,402.487
[[863. 217. 100.]],1,224,435,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[123. 364. 100.]],5,282,334,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-396.  387.  700.]],9,958,339,"NoNose,NoBody2,NoBody1",42.883427,214.7915,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,42.883427,214.7915
[[-373.  413.  700.]],13,669,434,"NoNose,NoBody2,NoBody1",26.254063,363.50412,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.254063,363.50412
[[177. 351. 700.]],9,159,408,"NoNose,NoBody2,NoBody1",25.650492,362.87433,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,25.650492,362.87433
[[-72. 370. 700.]],8,-108,418,"NoNose,NoBody2,NoBody1",25.555208,362.7749,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,25.555208,362.7749
[[-262.  333.  100.]],9,-473,264,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[1138.  350.  100.]],8,1244,387,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[608. 503. 200.]],12,617,502,NoNose,573.00867,413.2617,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,573.00867,413.2617
[[-607.  417.  100.]],1,-1268,293,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[505. 461. 200.]],8,625,465,NoNose,446.99008,406.29388,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,446.99008,406.29388
[[-296.  468.  500.]],13,587,459,"NoNose,NoBody2",33.03577,370.58066,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,33.03577,370.58066
[[-481.  374.  100.]],8,-1151,350,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-363.  419.  700.]],13,-682,443,"NoNose,NoBody2,NoBody1",26.18422,363.43124,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.18422,363.43124
[[-977.  330.  100.]],9,-698,375,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[606. 445. 500.]],8,593,423,"NoNose,NoBody2",603.17584,403.75812,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,603.17584,403.75812
[[-202.  341.  700.]],8,625,358,"NoNose,NoBody2,NoBody1",25.707958,362.9343,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,25.707958,362.9343
[[625. 392. 100.]],8,104,411,Normal,396.69055,403.51273,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,396.69055,403.51273
[[911. 386. 100.]],17,-1332,365,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[679. 269. 500.]],9,778,452,"NoNose,NoBody2",340.8795,315.93588,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,340.8795,315.93588
[[-1153.   313.   700.]],9,333,392,"NoNose,NoBody2,NoBody1",25.980385,363.21857,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,25.980385,363.21857
[[661. 130. 500.]],11,661,395,"NoNose,NoBody2",30.642897,368.08377,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,30.642897,368.08377
[[756. 324. 100.]],9,-1264,126,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[617. 357. 100.]],8,-187,360,Normal,321.4157,399.35062,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,321.4157,399.35062
[[623. 372. 700.]],9,609,401,"NoNose,NoBody2,NoBody1",489.1288,389.91705,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,489.1288,389.91705
[[586. 496. 100.]],2,567,478,Normal,424.8604,405.07028,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,424.8604,405.07028
[[596. 351. 500.]],8,542,466,"NoNose,NoBody2",527.5628,398.83234,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,527.5628,398.83234
[[286. 727. 200.]],16,271,721,NoNose,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[120. 364. 100.]],8,-152,380,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[610. 369. 500.]],9,606,426,"NoNose,NoBody2",561.468,400.88663,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,561.468,400.88663
[[615. 402. 700.]],8,516,547,"NoNose,NoBody2,NoBody1",492.52902,390.0406,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,492.52902,390.0406
[[627. 416. 500.]],8,608,454,"NoNose,NoBody2",630.94574,405.17642,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,630.94574,405.17642
[[-500.  402.  100.]],18,-1320,347,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-765.  365.  100.]],9,564,283,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[580. 428. 500.]],15,616,481,"NoNose,NoBody2",577.528,402.09946,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,577.528,402.09946
[[1014.  385.  100.]],18,-653,397,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[645. 375. 300.]],4,535,383,NoBody1,334.00354,313.60208,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,334.00354,313.60208
[[-1067.   392.   700.]],17,90,414,"NoNose,NoBody2,NoBody1",26.36527,363.62018,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.36527,363.62018
[[-83. 321. 700.]],12,726,377,"NoNose,NoBody2,NoBody1",25.42177,362.63565,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,25.42177,362.63565
[[188. 307. 500.]],13,651,418,"NoNose,NoBody2",31.432404,368.9076,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,31.432404,368.9076
[[279. 421. 100.]],21,-55,388,Normal,56.82795,384.72107,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,56.82795,384.72107
[[679. 438. 700.]],9,684,402,"NoNose,NoBody2,NoBody1",579.4371,395.6121,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,579.4371,395.6121
[[158. 379. 100.]],20,-115,373,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[558. 387. 100.]],12,-346,355,Normal,436.3206,405.70392,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,436.3206,405.70392
[[809. 396. 100.]],16,642,376,Normal,134.42441,389.0115,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,134.42441,389.0115
[[635. 445. 500.]],9,634,395,"NoNose,NoBody2",634.9162,405.64722,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,634.9162,405.64722
[[649. 375. 500.]],9,682,353,"NoNose,NoBody2",555.1498,400.7432,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,555.1498,400.7432
[[637. 507. 200.]],8,532,437,NoNose,608.57574,415.22824,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,608.57574,415.22824
[[-1212.   362.   100.]],17,-126,345,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[869. 371. 100.]],9,-1153,399,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-1189.   293.   100.]],4,957,328,Normal,42.883427,214.7915,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,42.883427,214.7915
[[-844.  366.  100.]],17,-826,397,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[632. 268. 200.]],8,646,343,NoNose,129.62045,386.13202,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,129.62045,386.13202
[[1122.  358.  100.]],20,-455,404,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[597. 348. 100.]],9,1176,383,Normal,328.00034,399.7147,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,328.00034,399.7147
[[678. 231. 500.]],9,617,403,"NoNose,NoBody2",32.775703,368.81055,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,32.775703,368.81055
[[589. 472. 200.]],11,649,446,NoNose,583.4802,413.84067,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,583.4802,413.84067
[[611. 471. 200.]],15,600,426,NoNose,613.2186,415.48495,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,613.2186,415.48495
[[576. 300. 500.]],8,558,248,"NoNose,NoBody2",429.61914,392.8402,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,429.61914,392.8402
[[-1010.   374.   100.]],8,-124,389,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[698. 342. 100.]],9,707,366,Normal,157.42029,390.283,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,157.42029,390.283
[[-1137.   337.   100.]],9,1244,350,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-526.  356.  100.]],8,-562,411,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[232. 690. 100.]],1,254,702,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[700. 419. 200.]],9,578,432,NoNose,577.8378,413.5287,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,577.8378,413.5287
[[177. 347. 100.]],9,69,376,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[600. 385. 100.]],20,-1125,387,Normal,405.35767,403.99194,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,405.35767,403.99194
[[595. 482. 100.]],4,621,450,Normal,267.7663,291.12015,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,267.7663,291.12015
[[523. 387. 100.]],19,-170,403,Normal,427.9753,405.2425,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,427.9753,405.2425
[[615. 391. 600.]],7,648,428,"NoNose,NoBody2,NoBody1",557.7477,397.47604,"NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoBody2,NoBody1",What are the next sensor values associated with next time step?,557.7477,397.47604
[[647. 449. 200.]],16,630,417,NoNose,651.4623,417.59952,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,651.4623,417.59952
[[550. 464. 100.]],1,535,483,Normal,411.2764,404.31918,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,411.2764,404.31918
[[587. 372. 700.]],8,628,411,"NoNose,NoBody2,NoBody1",460.22498,387.92548,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,460.22498,387.92548
[[1073.  371.  100.]],8,-501,398,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[632. 485. 200.]],8,637,455,NoNose,625.0267,416.13785,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,625.0267,416.13785
[[596. 386. 200.]],9,624,355,NoNose,577.3168,413.49988,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,577.3168,413.49988
[[1048.  413.  700.]],14,1275,417,"NoNose,NoBody2,NoBody1",218.67322,374.28635,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,218.67322,374.28635
[[758. 368. 200.]],9,633,422,NoNose,314.75543,398.35696,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,314.75543,398.35696
[[-1045.   344.   100.]],9,-937,369,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[668. 422. 200.]],21,654,355,NoNose,609.4813,415.27832,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,609.4813,415.27832
[[656. 447. 500.]],20,581,458,"NoNose,NoBody2",657.5536,406.98663,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,657.5536,406.98663
[[-1117.   367.   100.]],8,796,344,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[682. 462. 200.]],9,634,453,NoNose,665.66815,418.385,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,665.66815,418.385
[[-805.  408.  100.]],9,371,340,Normal,42.883427,214.7915,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,42.883427,214.7915
[[577. 459. 100.]],1,609,469,Normal,438.4036,405.8191,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,438.4036,405.8191
[[699. 444. 200.]],9,577,423,NoNose,292.6246,299.55743,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,292.6246,299.55743
[[600. 405. 500.]],8,648,369,"NoNose,NoBody2",603.2295,403.4661,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,603.2295,403.4661
[[-204.  394.  100.]],1,968,332,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[709. 458. 200.]],8,577,448,NoNose,651.25055,417.58783,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,651.25055,417.58783
[[633. 397. 500.]],14,608,409,"NoNose,NoBody2",614.0924,404.0715,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,614.0924,404.0715
[[971. 299. 700.]],9,594,208,"NoNose,NoBody2,NoBody1",25.039486,362.23676,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,25.039486,362.23676
[[830. 292. 100.]],10,726,344,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[667. 461. 500.]],11,674,403,"NoNose,NoBody2",666.7898,407.6522,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,666.7898,407.6522
[[-1279.   384.   700.]],18,-1185,403,"NoNose,NoBody2,NoBody1",26.14233,363.38754,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.14233,363.38754
[[687. 443. 200.]],9,665,423,NoNose,297.1844,301.1051,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,297.1844,301.1051
[[1227.  393.  700.]],20,1190,362,"NoNose,NoBody2,NoBody1",25.773987,363.00317,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,25.773987,363.00317
[[1182.  308.  100.]],8,1076,338,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[218. 384. 100.]],9,28,411,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[635. 428. 500.]],8,651,427,"NoNose,NoBody2",637.7177,405.671,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,637.7177,405.671
[[-494.  401.  100.]],18,-1309,387,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[331. 395. 100.]],9,-1019,389,Normal,173.44284,391.1689,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,173.44284,391.1689
[[-306.  420.  700.]],16,642,402,"NoNose,NoBody2,NoBody1",25.775047,363.0043,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,25.775047,363.0043
[[556. 393. 100.]],8,574,369,Normal,438.76352,405.83902,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,438.76352,405.83902
[[566. 253. 500.]],8,522,443,"NoNose,NoBody2",306.8398,385.45618,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,306.8398,385.45618
